Point Num.,Point Desc.,X,Y,Target Ht.,Max Ht.,Exceeds By,Layer
20000,xSrLA,25.1089,17.4521,7.03616,0.0,7.03616,0,
20000,xSrLA,25.1089,17.4521,7.03616,0.0,7.03616,0,
20000,xSrLA,25.1089,17.4521,7.03616,0.0,7.03616,0,
19999,DMFNE,15.5453,17.2283,6.57734,0.0,6.57734,0,
19998,OPOox,23.7577,13.5534,12.3233,0.0,12.3233,0,
19998,OPOox,23.7577,13.5534,12.3233,0.0,12.3233,0,
19997,YEbcC,17.0061,16.6708,16.2103,0.0,16.2103,0,
19996,inVcm,22.0065,16.0176,13.3615,0.0,13.3615,0,
19995,FdFIF,22.4211,17.0034,2.99257,0.0,2.99257,0,
19995,FdFIF,22.4211,17.0034,2.99257,0.0,2.99257,0,
19992,jlrvd,25.5433,16.1927,10.108,0.0,10.108,0,
19992,jlrvd,25.5433,16.1927,10.108,0.0,10.108,0,
19991,XJvTw,21.0532,16.7432,1.99107,0.0,1.99107,0,
19991,XJvTw,21.0532,16.7432,1.99107,0.0,1.99107,0,
19988,bRZMW,18.9463,12.6053,3.51992,0.0,3.51992,0,
19987,CBDOa,25.9753,15.994,14.611,0.0,14.611,0,
19987,CBDOa,25.9753,15.994,14.611,0.0,14.611,0,
19986,dSzuG,23.7872,17.1671,2.0425,0.0,2.0425,0,
19986,dSzuG,23.7872,17.1671,2.0425,0.0,2.0425,0,
19985,YREWi,23.3206,13.5968,19.6011,0.0,19.6011,0,
19985,YREWi,23.3206,13.5968,19.6011,0.0,19.6011,0,
19981,MxLxn,19.6112,17.0081,18.7361,0.0,18.7361,0,
19980,EgjzS,24.8733,12.6025,19.4438,0.0,19.4438,0,
19980,EgjzS,24.8733,12.6025,19.4438,0.0,19.4438,0,
19980,EgjzS,24.8733,12.6025,19.4438,0.0,19.4438,0,
19979,gEKTE,21.2352,17.8615,16.4901,0.0,16.4901,0,
19979,gEKTE,21.2352,17.8615,16.4901,0.0,16.4901,0,
19978,FKhWX,21.1155,16.2665,4.56017,0.0,4.56017,0,
19974,NbRQf,23.8028,15.2555,16.8401,0.0,16.8401,0,
19974,NbRQf,23.8028,15.2555,16.8401,0.0,16.8401,0,
19973,zglIq,21.5946,14.4037,3.79229,0.0,3.79229,0,
19972,affcP,23.168,16.236,18.6022,0.0,18.6022,0,
19970,MpCnY,25.476,12.1644,9.56212,0.0,9.56212,0,
19970,MpCnY,25.476,12.1644,9.56212,0.0,9.56212,0,
19969,MOuQQ,17.7482,17.6795,4.93343,0.0,4.93343,0,
19968,pzcul,25.7538,14.8891,5.24127,0.0,5.24127,0,
19968,pzcul,25.7538,14.8891,5.24127,0.0,5.24127,0,
19967,EIaxC,21.4339,15.2714,13.1131,0.0,13.1131,0,
19966,UOHCU,20.7336,16.6642,5.48985,0.0,5.48985,0,
19964,rCyvO,24.989,15.3254,5.09496,0.0,5.09496,0,
19964,rCyvO,24.989,15.3254,5.09496,0.0,5.09496,0,
19963,XuJYb,22.4019,17.373,15.6285,0.0,15.6285,0,
19963,XuJYb,22.4019,17.373,15.6285,0.0,15.6285,0,
19962,eERwE,22.4476,13.4745,13.61,0.0,13.61,0,
19962,eERwE,22.4476,13.4745,13.61,0.0,13.61,0,
19961,vnNTW,22.6453,12.5452,9.58673,0.0,9.58673,0,
19961,vnNTW,22.6453,12.5452,9.58673,0.0,9.58673,0,
19958,DqIPj,17.6664,17.4696,8.92046,0.0,8.92046,0,
19957,QGRPa,24.6812,14.8753,4.53886,0.0,4.53886,0,
19957,QGRPa,24.6812,14.8753,4.53886,0.0,4.53886,0,
19955,Iwjeu,21.014,15.5185,4.33862,0.0,4.33862,0,
19954,lbccF,23.0778,14.7539,5.37968,0.0,5.37968,0,
19954,lbccF,23.0778,14.7539,5.37968,0.0,5.37968,0,
19952,msLuT,22.373,14.0207,19.0066,0.0,19.0066,0,
19952,msLuT,22.373,14.0207,19.0066,0.0,19.0066,0,
19951,SVbdV,21.1989,13.0507,10.5601,0.0,10.5601,0,
19950,Umjmb,24.7614,12.6511,6.1088,0.0,6.1088,0,
19950,Umjmb,24.7614,12.6511,6.1088,0.0,6.1088,0,
19950,Umjmb,24.7614,12.6511,6.1088,0.0,6.1088,0,
19949,Mvphg,15.1695,16.4772,6.97176,0.0,6.97176,0,
19948,PuNre,17.6845,17.3658,15.5852,0.0,15.5852,0,
